provider,model,tier,date,event,input_usd_per_1m,output_usd_per_1m,blended_usd_per_1m_3to1,context_k_tokens,mmlu,gpqa_diamond,swe_bench_verified,aa_index_v4_1,capability_composite_0to1,capability_basis,intelligence_per_dollar_index_gpt3eq1,status,notes,sources,date_accessed
OpenAI,GPT-3 (davinci),frontier,2020-06-11,launch,60.0,60.0,60.0,2000,43.9,,,,0.0575,mmlu_chained[E],1.0,fact,No input/output split ($0.06/1K all tokens). MMLU 5-shot from Hendrycks et al.,https://arxiv.org/abs/2009.03300; https://the-decoder.com/openai-cuts-prices-for-gpt-3-by-two-thirds/,2026-08-02
OpenAI,GPT-3 (davinci),frontier,2022-09-01,reprice,20.0,20.0,20.0,2000,43.9,,,,0.0575,mmlu_chained[E],3.0,fact,-67% cut attributed to inference efficiency.,https://the-decoder.com/openai-cuts-prices-for-gpt-3-by-two-thirds/,2026-08-02
OpenAI,GPT-3.5 Turbo,efficient,2023-03-01,launch,2.0,2.0,2.0,4000,70.0,,,,0.1368,mmlu_chained[E],71.4,fact,Chat API debut; 10x cheaper than davinci. MMLU from GPT-4 tech report.,https://arxiv.org/abs/2303.08774,2026-08-02
OpenAI,GPT-3.5 Turbo,efficient,2024-01-25,reprice,0.5,1.5,0.75,16000,70.0,,,,0.1368,mmlu_chained[E],190.5,fact,Third GPT-3.5 cut in a year (0125 version).,https://cointelegraph.com/news/openai-gpt-4-update-price-drop-new-embeddings-models,2026-08-02
OpenAI,GPT-4 (8K),frontier,2023-03-14,launch,30.0,60.0,37.5,8000,86.4,39.0,,,0.1867,gpqa,5.2,fact,GPQA 39% = strongest GPT-4 baseline in GPQA paper (few-shot CoT).,https://arxiv.org/abs/2303.08774; https://arxiv.org/abs/2311.12022,2026-08-02
OpenAI,GPT-4 Turbo,frontier,2023-11-06,launch,10.0,30.0,15.0,128000,86.5,,,,0.187,mmlu_chained[E],13.0,mixed,Prices fact (DevDay). MMLU ~86.5 unofficial [ESTIMATE].,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,2026-08-02
OpenAI,GPT-4o,frontier,2024-05-13,launch,5.0,15.0,7.5,128000,88.7,53.6,33.2,,0.3567,gpqa+swe,49.7,fact,Native multimodal. SWE-bench Verified 33.2 from OpenAI's Aug-2024 SWE-bench-Verified post.,https://openai.com/index/hello-gpt-4o/; https://openai.com/index/introducing-swe-bench-verified/,2026-08-02
OpenAI,GPT-4o (0806),frontier,2024-08-06,reprice,2.5,10.0,4.375,128000,88.7,53.6,33.2,,0.3567,gpqa+swe,85.1,fact,-50% input / -33% output.,https://developers.openai.com/api/docs/models/gpt-4o,2026-08-02
OpenAI,GPT-4o mini,efficient,2024-07-18,launch,0.15,0.6,0.2625,128000,82.0,40.2,,,0.2027,gpqa,806.2,fact,Replaced GPT-3.5 Turbo as cheap default.,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,2026-08-02
OpenAI,o1,frontier,2024-12-17,launch,15.0,60.0,26.25,200000,92.3,78.0,48.9,,0.5978,gpqa+swe,23.8,fact,First full reasoning model; reasoning tokens billed as output.,https://openai.com/index/learning-to-reason-with-llms/,2026-08-02
OpenAI,GPT-4.5 (preview),frontier,2025-02-27,launch,75.0,150.0,93.75,128000,,,,,,none,,fact,Most expensive OpenAI model ever; removed from API 2025-07-14.,https://en.wikipedia.org/wiki/GPT-4.5,2026-08-02
OpenAI,GPT-4.1,efficient,2025-04-14,launch,2.0,8.0,3.5,1000000,90.2,66.3,54.6,,0.5483,gpqa+swe,163.6,fact,API-only; first OpenAI 1M context.,https://openai.com/index/gpt-4-1/,2026-08-02
OpenAI,o3,frontier,2025-04-16,launch,10.0,40.0,17.5,200000,,83.3,69.1,,0.7342,gpqa+swe,43.8,fact,GPQA 83.3 = Artificial-Analysis-measured (OpenAI announced 87.7 high-compute).,https://openai.com/index/introducing-o3-and-o4-mini/; https://artificialanalysis.ai/evaluations/gpqa-diamond,2026-08-02
OpenAI,o3,frontier,2025-06-10,reprice,2.0,8.0,3.5,200000,,83.3,69.1,30.4,0.7342,gpqa+swe,219.0,fact,"-80% cut, same model, optimized inference stack.",https://venturebeat.com/ai/openai-announces-80-price-drop-for-o3-its-most-powerful-reasoning-model,2026-08-02
OpenAI,GPT-5,frontier,2025-08-07,launch,1.25,10.0,3.4375,400000,,85.7,74.9,,0.7792,gpqa+swe,236.7,fact,Unified reasoning; GPQA is thinking-mode figure.,https://openai.com/index/introducing-gpt-5/,2026-08-02
OpenAI,GPT-5 mini,efficient,2025-08-07,launch,0.25,2.0,0.6875,400000,,,,,,none,,fact,,https://openai.com/index/introducing-gpt-5/,2026-08-02
OpenAI,GPT-5.2,frontier,2025-12-10,launch,1.75,14.0,4.8125,400000,92.5,92.4,,,0.8987,gpqa,195.0,mixed,FIRST flagship price increase (+40% vs GPT-5.1). Benchmarks from third-party compilations.,https://openrouter.ai/openai/gpt-5.2; https://www.vellum.ai/blog/gpt-5-2-benchmarks,2026-08-02
OpenAI,GPT-5.5,frontier,2026-04-23,launch,5.0,30.0,11.25,1000000,,92.6,,,0.9013,gpqa,83.7,mixed,Doubled GPT-5.4 pricing. GPQA from secondary sources.,https://en.wikipedia.org/wiki/GPT-5.5,2026-08-02
OpenAI,GPT-5.6 Sol,frontier,2026-07-09,launch,5.0,30.0,11.25,1050000,,94.1,96.2,58.9,0.9417,gpqa+swe,87.4,mixed,Current flagship. GPQA/SWE third-party (OpenAI's official headline was Terminal-Bench 2.1 88.8).,https://openai.com/index/gpt-5-6/; https://benchlm.ai/benchmarks/gpqaDiamond; https://llm-stats.com/benchmarks/swe-bench-verified,2026-08-02
OpenAI,GPT-5.6 Terra,efficient,2026-07-09,launch,2.5,15.0,5.625,1050000,,,,,,none,,fact,Mid tier.,https://openai.com/index/gpt-5-6/,2026-08-02
OpenAI,GPT-5.6 Terra,efficient,2026-07-30,reprice,2.0,12.0,4.5,1050000,,,,,,none,,fact,-20% cut.,https://www.cnbc.com/2026/07/30/open-ai-price-cut-gpt.html,2026-08-02
OpenAI,GPT-5.6 Luna,efficient,2026-07-09,launch,1.0,6.0,2.25,1050000,,,93.0,,0.93,swe,431.6,fact,High-volume tier. SWE-bench Verified 93.0 via llm-stats.,https://openai.com/index/gpt-5-6/; https://llm-stats.com/benchmarks/swe-bench-verified,2026-08-02
OpenAI,GPT-5.6 Luna,efficient,2026-07-30,reprice,0.2,1.2,0.45,1050000,,,93.0,,0.93,swe,2158.0,fact,"-80% cut three weeks after launch ('Luna' price cut, verified).",https://openai.com/index/advancing-the-price-performance-frontier-with-gpt-5-6/; https://www.cnbc.com/2026/07/30/open-ai-price-cut-gpt.html,2026-08-02
Anthropic,Claude 2,frontier,2023-07-11,launch,11.02,32.68,16.435,100000,78.5,,,,0.1626,mmlu_chained[E],10.3,fact,Token prices are Anthropic's conversion of per-character pricing.,https://www.anthropic.com/news/claude-2,2026-08-02
Anthropic,Claude 2.1,frontier,2023-11-21,reprice,8.0,24.0,12.0,200000,78.5,,,,0.1626,mmlu_chained[E],14.2,fact,-27% vs Claude 2; first 200K context.,https://www.anthropic.com/news/claude-2-1,2026-08-02
Anthropic,Claude 3 Haiku,efficient,2024-03-13,launch,0.25,1.25,0.5,200000,75.2,,,,0.1526,mmlu_chained[E],318.7,fact,,https://www.anthropic.com/news/claude-3-family,2026-08-02
Anthropic,Claude 3 Opus,frontier,2024-03-04,launch,15.0,75.0,30.0,200000,86.8,50.4,,,0.3387,gpqa,11.8,fact,First GPT-4-class Claude.,https://www.anthropic.com/news/claude-3-family,2026-08-02
Anthropic,Claude 3.5 Sonnet,frontier,2024-06-20,launch,3.0,15.0,6.0,200000,88.7,59.4,,,0.4587,gpqa,79.8,fact,"Oct-2024 'v2' upgrade at same price: GPQA 65.0, SWE-bench 49.0.",https://www.anthropic.com/news/claude-3-5-sonnet,2026-08-02
Anthropic,Claude 3.5 Sonnet v2,frontier,2024-10-22,upgrade,3.0,15.0,6.0,200000,,65.0,49.0,,0.5117,gpqa+swe,89.0,fact,"Same price, higher capability.",https://www.anthropic.com/news/3-5-models-and-computer-use,2026-08-02
Anthropic,Claude 3.7 Sonnet,frontier,2025-02-24,launch,3.0,15.0,6.0,200000,,68.0,62.3,,0.5982,gpqa+swe,104.1,fact,GPQA 68.0 standard mode (84.8 extended thinking).,https://www.anthropic.com/news/claude-3-7-sonnet,2026-08-02
Anthropic,Claude Opus 4,frontier,2025-05-22,launch,15.0,75.0,30.0,200000,88.8,79.6,72.5,,0.7265,gpqa+swe,25.3,fact,,https://www.anthropic.com/news/claude-4,2026-08-02
Anthropic,Claude Sonnet 4.5,frontier,2025-09-29,launch,3.0,15.0,6.0,200000,,83.4,77.2,,0.7753,gpqa+swe,134.9,fact,,https://www.anthropic.com/news/claude-sonnet-4-5,2026-08-02
Anthropic,Claude Haiku 4.5,efficient,2025-10-15,launch,1.0,5.0,2.0,200000,,,73.3,,0.733,swe,382.7,fact,,https://www.anthropic.com/news/claude-haiku-4-5,2026-08-02
Anthropic,Claude Opus 4.5,frontier,2025-11-24,launch,5.0,25.0,10.0,200000,,87.0,80.9,,0.8178,gpqa+swe,85.4,mixed,Opus tier -67% price cut. SWE 80.9 fact; GPQA 87.0 [ESTIMATE - unverified].,https://www.anthropic.com/news/claude-opus-4-5,2026-08-02
Anthropic,Claude Opus 4.8,frontier,2026-05-28,launch,5.0,25.0,10.0,1000000,,93.6,88.6,56.0,0.9003,gpqa+swe,94.0,mixed,SWE via llm-stats; AA v4.1 snapshot conflicts exist (56 vs 61.4 across modes).,https://llm-stats.com/benchmarks/swe-bench-verified; https://benchlm.ai/benchmarks/artificialanalysis,2026-08-02
Anthropic,Claude Fable 5,frontier,2026-06-09,launch,10.0,50.0,20.0,1000000,,92.6,95.0,59.9,0.9257,gpqa+swe,48.3,mixed,New Mythos-class tier above Opus; premium price point.,https://www.anthropic.com/claude/fable; https://benchlm.ai/benchmarks/gpqaDiamond,2026-08-02
Anthropic,Claude Sonnet 5,efficient,2026-06-30,launch,2.0,10.0,4.0,1000000,,,85.2,57.0,0.852,swe,222.4,mixed,Intro pricing through 2026-08-31; list $3/$15 from Sep 1. AA ~57 secondary source.,https://www.anthropic.com/news/claude-sonnet-5,2026-08-02
